id,page,tier,negative,block,refs,title,given,when,then,section,source_line,form
QA-SC-02,view-orders,ADMIN,False,SC,[BR-2];[DC-1];[L-S1-1],[L-S1-1] [BR-2],,"When the value [V1]8801051283860 is submitted,","Then it resolves identically to 8801051283860, and [DC-1] records raw_value=[V1]8801051283860 and normalized_value=8801051283860.","8.2 Unified search, scan protocol and focus",1181,prose
QA-SC-03,view-orders,ADMIN,False,SC,[BR-3];[DC-3];[E-7],[E-7] [BR-3] — negative,"Given one number matching two entities,","When it is submitted,","Then a candidate list renders, nothing is auto-selected, and no mutation occurs until a candidate is clicked; the click persists [DC-3] with position_in_list.","8.2 Unified search, scan protocol and focus",1184,prose
QA-SC-04,view-orders,ADMIN,False,SC,[BR-12];[DC-25];[E-9],[E-9] [BR-12],"Given three return parcels whose orders are refunded, failed and completed respectively,","When each last-mile barcode is scanned,","Then all three open State 4 with the ⟲ Customer Return Order banner, and each persists [DC-25].order_status_at_scan with its real status.","8.2 Unified search, scan protocol and focus",1187,prose
QA-SC-05,view-orders,ADMIN,False,SC,[E-10],[E-10] — negative,,"When the search is submitted empty,","Then no request is issued, no state changes, no toast appears, and focus does not move.","8.2 Unified search, scan protocol and focus",1190,prose
QA-SC-06,view-orders,WF,False,SC,[L-S1-12],[L-S1-12],"Given tab 1 · Scan Result (Last Item Remaining) is active,",,Then #s1 .search-input input has value exactly 10323775316153 — the value persists after the inbound that produced this state.,"8.2 Unified search, scan protocol and focus",1193,prose
QA-SC-07,view-orders,WF,False,SC,[L-S1-12],[L-S1-12],"Given each of tabs 1b, 2, 3, 4, 5, 6,",,"Then the search input's value is non-empty in every one of them: 10323775317888, 10323775316153, 10323775316153, 10322198837710, 10324880021991, 10325661220417 respectively.","8.2 Unified search, scan protocol and focus",1196,prose
QA-SC-08,view-orders,WF,False,SC,[L-S1-12];[L-S6b-2],[L-S6b-2] [L-S1-12],"Given tab 6b · Internal Inbound Complete is active,",,Then the search input's value is empty and its placeholder is exactly Scan a tracking barcode — continue with the next one — the documented exception to value persistence.,"8.2 Unified search, scan protocol and focus",1199,prose
QA-SC-09,view-orders,ADMIN,False,SC,[E-11];[G-1];[L-S1-14],[L-S1-14] [E-11] [G-1],"After any inbound/outbound action,",,"Then the search input is focused and its content is fully selected (selectionStart === 0 && selectionEnd === value.length), so a subsequent scan replaces it; no click was required.","8.2 Unified search, scan protocol and focus",1202,prose
QA-SC-10,view-orders,ADMIN,False,SC,[BR-30];[E-12],[E-12] [BR-30] — negative,"Given the caret is inside the comment composer,","When an auto-refocus trigger fires (page click elsewhere, background action completes),",Then focus stays in the composer and the typed text is unchanged.,"8.2 Unified search, scan protocol and focus",1205,prose
QA-SC-11,view-orders,ADMIN,False,SC,[E-49],[E-49] — negative,"Given modal M6 is open with focus in New Expected Qty,","When a barcode is scanned,",Then the digits go to the focused modal field and the page's search input is not refocused.,"8.2 Unified search, scan protocol and focus",1208,prose
QA-SC-12,view-orders,ADMIN,False,SC,[BR-31];[G-2],[BR-31] [G-2] — negative,"For every action on this page (inbound, outbound, cancel, restock, confirm, save, print, comment post),",,Then no full-page reload occurs — no navigation entry is added and no beforeunload fires.,"8.2 Unified search, scan protocol and focus",1211,prose
QA-SC-13,view-orders,ADMIN,False,SC,[DC-1];[E-50],[E-50],"Given a truncated scanner read,",,Then M2 opens and [DC-1].raw_value stores the truncated string verbatim for device diagnosis.,"8.2 Unified search, scan protocol and focus",1214,prose
QA-SC-14,view-orders,ADMIN,False,SC,[BR-54];[DC-1];[E-66],[E-66] [BR-54],"Given a resolution request is deliberately delayed by 2 s,","When a second barcode is submitted 200 ms later,","Then both persist [DC-1], the rendered state derives from the second scan, and the first result never overwrites it.","8.2 Unified search, scan protocol and focus",1217,prose
QA-SC-15,view-orders,ADMIN,False,SC,[E-68],[E-68] — negative,"Given State 6 is open with uncommitted receipts,","When a different request's tracking is scanned,","Then a blocking prompt names the open request and its uncommitted count, offers Save Partial Inbound / Stay here, and nothing is saved implicitly.","8.2 Unified search, scan protocol and focus",1220,prose
QA-SC-16,view-orders,ADMIN,False,SC,[E-69],[E-69] — negative,,,,"8.2 Unified search, scan protocol and focus",1223,prose
QA-SC-17,view-orders,WF,False,SC,[L-S1-1],[L-S1-1],"Given every one of the nine states,",,"Then the search input's placeholder is the same string in all of them except #s6b (see QA-SC-08), proving the input is a single unified control and not a per-state variant.","8.2 Unified search, scan protocol and focus",1226,prose
QA-SC-18,view-orders,ADMIN,False,SC,[DC-2],[DC-2],,"When a number is typed rather than scanned and submitted,","Then search.manual_query persists with typed=true, the query and the result count.","8.2 Unified search, scan protocol and focus",1229,prose
QA-S1-01,view-orders,WF,False,S1,[L-S1-5],[L-S1-5] (highlight half only; see L-8),"Given 1 · Scan Result (Last Item Remaining) is active,",,Then #s1 table.tbl tbody tr.row-hit has length exactly 1 and its SKU cell reads 100005104 (after rule 6b annotation-stripping — the raw textContent is 1000051045); its Inbound Status badge is .tag-pending with text PENDING.,"8.3 States 1 / 1b — rows, buttons, columns",1234,prose
QA-S1-02,view-orders,ADMIN,False,S1,[L-S1-5],[L-S1-5] (sort half),,"When a product barcode resolves inside the open order,",Then its row moves to index 0 of the table body and carries row-hit; a subsequent scan of a different line moves the class and the row.,"8.3 States 1 / 1b — rows, buttons, columns",1237,prose
QA-S1-03,view-orders,WF,False,S1,[BR-8];[L-S1-8],[L-S1-8] [BR-8],"Given State 1,",,Then the #s1 table.tbl tbody tr.row-hit row's action button text is exactly Inbound + Outbound (rule 6b) and it has class btn-green.,"8.3 States 1 / 1b — rows, buttons, columns",1240,prose
QA-S1-04,view-orders,WF,False,S1,[BR-8];[L-S1b-21],[L-S1b-21] [BR-8],"Given tab 1b · Scan Result (Normal — 2 Remaining) is active,",,"Then #s1b table.tbl tbody tr.row-hit action button text is exactly Inbound (not Inbound + Outbound), and #s1b .ordercard button with text Outbound has class btn-gray.","8.3 States 1 / 1b — rows, buttons, columns",1243,prose
QA-S1-05,view-orders,WF,False,S1,[L-S1b-21],[L-S1b-21],"Given State 1b,",,"Then exactly 2 rows carry .tag-pending (100005104, 100038120) — the ""two remaining"" condition that keeps the button as plain Inbound.","8.3 States 1 / 1b — rows, buttons, columns",1246,prose
QA-S1-06,view-orders,WF,False,S1,[BR-47];[L-S1-9],[L-S1-9] [BR-47],"Given State 1,",,"Then #s1 .bulkbar contains buttons with texts exactly Bulk Inbound (Selected) and Inbound + Outbound All Remaining, and #s1 .bulkbar .cnt text is exactly 1 selected · Processing all triggers auto Outbound (Hold orders: Inbound only).","8.3 States 1 / 1b — rows, buttons, columns",1249,prose
QA-S1-07,view-orders,WF,False,S1,[L-S1-9],[L-S1-9],"Given State 1b,",,Then #s1b .bulkbar .cnt reads exactly 2 not yet inbounded — processing all triggers auto Outbound (Hold orders: Inbound only).,"8.3 States 1 / 1b — rows, buttons, columns",1252,prose
QA-S1-08,view-orders,WF,False,S1,[BR-47];[L-S1-9],[L-S1-9] [BR-47],"Given every one of States 1, 1b, 2, 3, 4, 5,",,"Then a .bulkbar exists in each — it is never hidden, only disabled.","8.3 States 1 / 1b — rows, buttons, columns",1255,prose
QA-S1-09,view-orders,WF,False,S1,[BR-40];[L-S1-10],[L-S1-10] [BR-40] — negative,"Given every state,",,"Then the .ordercard action button's text is exactly Outbound (or ✓ Outbounded in State 3) after rule 6b stripping, and the string Deleo appears 0 times in document.body.innerText after excluding every .legend subtree. The exclusion is required, not a convenience: State 1's legend entry 10 documents the removal by name (Label changed from ""Outbound to Deleo Baroship"" to ""Outbound""), so an unscoped sweep finds 1 hit in #s1 and 0 everywhere else. The rule being asserted is that no rendered UI control or data cell names the carrier [BR-40]; the legend is documentation of that removal and must keep saying it.","8.3 States 1 / 1b — rows, buttons, columns",1258,prose
QA-S1-10,view-orders,WF,False,S1,[BR-4];[BR-5];[L-S1-6],[L-S1-6] [BR-4] [BR-5],"Given State 1,",,"Then the four route badges present are SMART BUY, JIT (Coupang), WHOLESALE, PARTNERSHIP; the only row whose Inbound Status is PENDING carries the JIT (Coupang) badge.","8.3 States 1 / 1b — rows, buttons, columns",1261,prose
QA-S1-11,view-orders,WF,False,S1,[BR-4];[L-S1-6],[L-S1-6] [BR-4] — negative,"Given States 1, 1b, 2, 3, 4, 5,",,"Then no row shows PENDING together with a SMART BUY, WHOLESALE or PARTNERSHIP badge — only JIT can be PENDING.","8.3 States 1 / 1b — rows, buttons, columns",1264,prose
QA-S1-12,view-orders,WF,False,S1,[BR-38];[L-S1-7],[L-S1-7] [BR-38],"Given State 1,",,"Then in #s1 table.tbl the Qty cell's span showing 2 (row SKU 100038120) has classes qty qty-warn, and every Qty cell's span showing 1 has class qty without qty-warn. The classes live on the <span> inside the <td> (<td><span class=""qty qty-warn"">2</span></td>); the <td> itself carries class="""" or class=""anno"", so asserting against the cell element fails on a correct page.","8.3 States 1 / 1b — rows, buttons, columns",1267,prose
QA-S1-13,view-orders,WF,False,S1,[BR-39];[L-S1-17];[L-S1-6],[L-S1-17] [L-S1-6] [BR-39],"Given each of States 1, 1b, 2, 3, 4, 5,",,"Then that state's table.tbl thead th count is 14 and the header texts, in order, are: (checkbox), SKU, Image, Product Name, Product Name KR, Size, Qty, Barcode, Inbound Order No, Tracking No, Inbound Status, Sourcing Route, Location, Actions — identical in all six, after rule 6b stripping (State 1 carries annotation dots inside three of these headers, whose raw text reads Product Name18, Sourcing Route6, Location17).","8.3 States 1 / 1b — rows, buttons, columns",1270,prose
QA-S1-14,view-orders,WF,False,S1,[BR-49];[L-S1-17],[L-S1-17] [BR-49],"Given State 1,",,Then in #s1 table.tbl tbody tr the .row-exist row (SKU 100024743) shows Location A-03-2 while every non-warehouse row shows –.,"8.3 States 1 / 1b — rows, buttons, columns",1273,prose
QA-S1-15,view-orders,WF,False,S1,[BR-36];[G-6];[L-S1-18],[L-S1-18] [G-6] [BR-36],"Given State 1,",,"Then in #s1 table.tbl tbody tr every Product Name cell begins with a <b> brand element (COSRX, Dr.Jart+, The Face Shop, Medicube) and every Product Name KR cell also begins with the same bold EN brand followed by the Korean name (e.g. Dr.Jart+ + 포어레미디 리뉴잉 폼 클렌저).","8.3 States 1 / 1b — rows, buttons, columns",1276,prose
QA-S1-16,view-orders,WF,False,S1,[L-S1-20],[L-S1-20],"Given States 1, 1b, 2 and 3,",,"Then within #sN table.tbl tbody the row for SKU 100024743 renders input.bcin with placeholder exactly Enter barcode in the Barcode column, while rows with a known barcode render text beginning ✓ (e.g. ✓ 8801051283860).","8.3 States 1 / 1b — rows, buttons, columns",1279,prose
QA-S1-17,view-orders,WF,False,S1,[BR-51];[L-S1-2],[L-S1-2] [BR-51],"Given State 1,","When I set #s1 .shelf input value to 9 and dispatch an input event, When I press Enter in that field,","Then a button.flsave becomes visible with text Save; Then the button text becomes ✓ Saved, it gains class ok, and it is hidden again within ~1 s. No page reload occurs.","8.3 States 1 / 1b — rows, buttons, columns",1282,prose
QA-S1-18,view-orders,WF,False,S1,[E-45],[E-45] — negative,"Given State 1,","When I set #s1 .shelf input to its existing value 3 and dispatch input,",Then no button.flsave becomes visible.,"8.3 States 1 / 1b — rows, buttons, columns",1285,prose
QA-S1-19,view-orders,WF,False,S1,[L-S1-13],[L-S1-13],"Given State 1,",,"Then a .logsec headed exactly Inbound / Outbound Log renders with header cells Time, Action, SKU, Qty, Worker, Memo, 3 data rows — counted as #s1 table.logtbl tbody tr having ≥ 1 <td>, because this table's header row also sits inside <tbody> and a bare row count returns 4 (rule 5) — and a row whose memo is exactly 1 box damaged — restocked, needs inspection.","8.3 States 1 / 1b — rows, buttons, columns",1288,prose
QA-S1-20,view-orders,WF,False,S1,[L-S1-13],[L-S1-13] (see L-4) — negative,"Given State 1b,",,"Then #s1b .logsec returns null. This documents demo limitation L-4 — the spec requires the log here, so the corresponding admin assertion is QA-S1-21, and this [WF] result must not be filed as a product bug.","8.3 States 1 / 1b — rows, buttons, columns",1291,prose
QA-S1-21,view-orders,ADMIN,False,S1,[L-S1-13],[L-S1-13],"Given the admin's State 1b equivalent,",,Then the Inbound / Outbound Log is present with the same six columns as States 1–5.,"8.3 States 1 / 1b — rows, buttons, columns",1294,prose
QA-S1-22,view-orders,ADMIN,False,S1,[BR-51];[DC-14],[DC-14] [BR-51],,"When a shelf value is saved,","Then order.shelf_assigned persists with order_id, shelf old → new, save_method, actor and server timestamp, and the in-place ✓ Saved chip is the confirmation (no top-right toast on success; a failure does raise the red top-right toast).","8.3 States 1 / 1b — rows, buttons, columns",1297,prose
QA-S1-23,view-orders,ADMIN,False,S1,[BR-29];[DC-15],[BR-29] [DC-15] [PD-18 · OWNER-PENDING],,"When the order is outbounded,",Then the shelf auto-clears and order.shelf_cleared persists with shelf {old} → null and trigger=outbound.,"8.3 States 1 / 1b — rows, buttons, columns",1300,prose
QA-S1-24,view-orders,ADMIN,False,S1,[E-89],[E-89],,"When a shelf is saved with "" "",","Then it is trimmed to empty, treated as a clear, and no whitespace value is ever persisted.","8.3 States 1 / 1b — rows, buttons, columns",1303,prose
QA-S1-25,view-orders,ADMIN,False,S1,[E-19],[E-19] — negative,,"When Bulk Inbound (Selected) is invoked with 0 rows selected,",Then no mutation occurs and a red toast Select at least one item appears.,"8.3 States 1 / 1b — rows, buttons, columns",1306,prose
QA-S1-26,view-orders,ADMIN,False,S1,[DC-6],[DC-6],,"When a row's Inbound is clicked,","Then item.inbounded persists with order id, SKU, qty, actor, timestamp and method=row_button, and the line status moves PENDING → INBOUNDED.","8.3 States 1 / 1b — rows, buttons, columns",1309,prose
QA-S1-27,view-orders,ADMIN,False,S1,[BR-34];[BR-6];[DC-6];[DC-8];[DC-9];[L-S1-8],[L-S1-8] [DC-6] [DC-8] [DC-9] [BR-6] [BR-34],,"When Inbound + Outbound is clicked on the last remaining line,",Then item.inbounded and order.outbounded (with trigger=combined_last_item) and order.status_changed (processing → prepare shipment) all persist under one idempotency key.,"8.3 States 1 / 1b — rows, buttons, columns",1312,prose
QA-S1-28,view-orders,ADMIN,False,S1,[BR-26];[E-14],[E-14] [BR-26] [PD-11 · OWNER-PENDING] — negative,,"When an already-INBOUNDED product barcode is rescanned inside a customer order,","Then an amber toast Already inbounded — {SKU} appears, no second item.inbounded persists, and no send sound plays.","8.3 States 1 / 1b — rows, buttons, columns",1315,prose
QA-S1-29,view-orders,ADMIN,False,S1,[BR-55];[DC-7];[E-72],[E-72] [DC-7] [BR-55] — negative,"Given a bulk inbound over 3 lines where line 2 fails server-side,",,"Then lines 1 and 3 stay INBOUNDED (no rollback), the toast reports a partial result naming line 2, and [DC-7].failed_line_ids[] contains line 2.","8.3 States 1 / 1b — rows, buttons, columns",1318,prose
QA-S1-30,view-orders,ADMIN,False,S1,[E-85],[E-85],"Given an order line whose SKU was deleted from the catalog,",,"Then the line renders from the stored order data and remains fully workable; the missing catalog row is reported, not hidden.","8.3 States 1 / 1b — rows, buttons, columns",1321,prose
QA-S2-01,view-orders,WF,False,S2,[L-S2-1],[L-S2-1],"Given tab 2 · All Inbounded is active,",,"Then all four #s2 table.tbl tbody tr show .tag-inbounded with text INBOUNDED, and the .ordercard button with text Outbound (rule 6b) has class btn-green (not btn-gray). The table.tbl scope is required — a bare #s2 tbody tr also matches the Actor Log and returns 9 (rule 5).",8.4 States 2 / 3 — outbound and cancels,1326,prose
QA-S2-02,view-orders,WF,False,S2,[L-S1-9];[L-S2-1],[L-S2-1] [L-S1-9],"Given State 2,",,Then both #s2 .bulkbar button elements have class btn-gray and #s2 .bulkbar .cnt reads exactly Nothing left to bulk-process — all items inbounded.,8.4 States 2 / 3 — outbound and cancels,1329,prose
QA-S2-03,view-orders,WF,False,S2,[L-S2-2],[L-S2-2],"Given State 2,","When I click the first #s2 table.tbl tbody tr row's Cancel Inbound button (located by rule-6b-normalized text — its raw text is Cancel Inbound2),",Then #m-cancel gains class open and its header text is exactly Cancel Inbound — 100038120 (rule 6b removes the trailing ✕ close button). No row state changes from the button alone.,8.4 States 2 / 3 — outbound and cancels,1332,prose
QA-S2-04,view-orders,WF,False,S2,[L-S2-2],[L-S2-2] — negative,"Given State 2 and #m-cancel open,","When I click the footer Close,","Then #m-cancel loses class open and the underlying table is byte-identical to before (no row changed status, no log row appeared).",8.4 States 2 / 3 — outbound and cancels,1335,prose
QA-S2-05,view-orders,ADMIN,False,S2,[BR-9];[DC-8];[DC-9];[L-S2-1],[L-S2-1] [DC-8] [DC-9] [BR-9],,"When Outbound is clicked while enabled,","Then order.outbounded persists with trigger=manual and the full SKU set, order.status_changed persists processing → prepare shipment, and State 3 renders in place with no reload.",8.4 States 2 / 3 — outbound and cancels,1338,prose
QA-S2-06,view-orders,ADMIN,False,S2,[BR-9];[DC-44];[E-60],[E-60] [BR-9] — negative,"Given an order with 0 line items,",,Then Outbound is disabled and the counter reads Found 0 item(s) in this order · Found 1 order(s); a forced outbound is rejected with [DC-44].reason=no_lines.,8.4 States 2 / 3 — outbound and cancels,1341,prose
QA-S3-01,view-orders,WF,False,S3,[L-S3-1],[L-S3-1],"Given tab 3 · Outbound Complete is active,",,"Then the .ordercard button text is exactly ✓ Outbounded with class btn-gray (rule 6b — its raw text is ✓ Outbounded1), and the status pill text is exactly Prepare Shipment with class st-prepare.",8.4 States 2 / 3 — outbound and cancels,1344,prose
QA-S3-02,view-orders,WF,False,S3,[L-S3-2],[L-S3-2],"Given State 3,","When I click it,",Then a button.btn-red-line whose rule-6b-normalized text is exactly Cancel Outbound is present on the .ordercard (its raw text is Cancel Outbound2); Then a browser alert with text exactly Status rollback: prepare shipment → processing is raised (wireframe stand-in for the real transition).,8.4 States 2 / 3 — outbound and cancels,1347,prose
QA-S3-03,view-orders,WF,False,S3,[BR-10];[L-S3-4],[L-S3-4] [BR-10] — negative,"Given State 3,",,Then every #s3 table.tbl tbody tr action button has rule-6b-normalized text Cancel Inbound (the first row's raw text is Cancel Inbound4) and class btn-gray; #s3 table.tbl tbody .btn-red-line returns an empty list.,8.4 States 2 / 3 — outbound and cancels,1350,prose
QA-S3-04,view-orders,WF,False,S3,[G-2];[L-S3-3],[L-S3-3] [G-2],"Given State 3,",,Then a .toast element is present whose text contains exactly ✓ Outbound complete — Order 413865 and whose small sub-line is exactly Status: prepare shipment.,8.4 States 2 / 3 — outbound and cancels,1353,prose
QA-S3-05,view-orders,WF,False,S3,[L-S1-13];[L-S3-1],[L-S3-1] [L-S1-13],"Given State 3,",,"Then the Actor Log's newest row has action OUTBOUND, SKU All (4 SKU) and qty 5, and the log has 5 data rows — #s3 table.logtbl tbody tr having ≥ 1 <td>; the bare row count is 6 because the header row sits inside <tbody> (rule 5).",8.4 States 2 / 3 — outbound and cancels,1356,prose
QA-S3-06,view-orders,ADMIN,False,S3,[BR-11];[DC-12];[DC-9];[L-S3-2],[L-S3-2] [DC-12] [DC-9] [BR-11],,"When Cancel Outbound is confirmed,","Then status persists prepare shipment → processing, all line inbound states are unchanged, and order.outbound_cancelled + order.status_changed persist.",8.4 States 2 / 3 — outbound and cancels,1359,prose
QA-S3-07,view-orders,ADMIN,False,S3,[DC-44];[E-55],[E-55] [DC-44] — negative,,"When a line-level cancel is forced (API) on an outbounded order,",Then the server rejects it with Cancel Outbound first and persists order.mutation_rejected with reason=line_locked_after_outbound.,8.4 States 2 / 3 — outbound and cancels,1362,prose
QA-S3-08,view-orders,ADMIN,False,S3,[E-56],[E-56] [PD-6 · OWNER-PENDING] — negative,,"When Cancel Outbound is attempted on an order already shipped,",Then it is rejected with a red toast naming the current status and nothing is rolled back.,8.4 States 2 / 3 — outbound and cancels,1365,prose
QA-S3-09,view-orders,ADMIN,False,S3,[BR-44];[E-32],[E-32] [BR-44] [PD-7 · OWNER-PENDING] — negative,"Given two sessions both showing the last-item state,","When both click Inbound + Outbound within 200 ms,","Then exactly one order.outbounded persists, exactly one label print is requested, and the loser sees a non-green toast with a refreshed row.",8.4 States 2 / 3 — outbound and cancels,1368,prose
QA-S3-10,view-orders,ADMIN,False,S3,[DC-13];[E-13];[G-9],[E-13] [G-9] [DC-13] — negative,,"When Outbound is double-clicked,",Then exactly one mutation occurs and idempotency.duplicate_rejected persists for the second click with original_event_id and arrival_delta_ms.,8.4 States 2 / 3 — outbound and cancels,1371,prose
QA-S3-11,view-orders,ADMIN,False,S3,[DC-44];[E-35],[E-35] [DC-44] — negative,,"When outbound is attempted on a refunded order,","Then it is rejected, the toast names the reason, and [DC-44].reason=status_forbids_outbound.",8.4 States 2 / 3 — outbound and cancels,1374,prose
QA-S3-12,view-orders,ADMIN,False,S3,[BR-9];[E-86],[E-86] [BR-9],"Given an order in pending status with every line INBOUNDED,",,Then Outbound is enabled and the recorded transition is pending → prepare shipment.,8.4 States 2 / 3 — outbound and cancels,1377,prose
QA-S3-13,view-orders,ADMIN,False,S3,[BR-32],[BR-32] — negative,,"When Cancel Outbound or ✓ Outbounded is clicked,",Then no send sound plays.,8.4 States 2 / 3 — outbound and cancels,1380,prose
QA-S3-14,view-orders,ADMIN,False,S3,[DC-44];[E-70],[E-70] [DC-44] — negative,"Given the session expired,","When Outbound is clicked,","Then an explicit re-authentication prompt appears, no optimistic state change is shown, and [DC-44].reason=session_expired persists; after re-auth, resubmitting with the same idempotency key produces exactly one outbound.",8.4 States 2 / 3 — outbound and cancels,1383,prose
QA-S4-01,view-orders,WF,False,S4,[L-S4-1],[L-S4-1],"Given tab 4 · Customer Return Mode is active,",,"Then #s4 .retbanner is present, its bold lead is exactly ⟲ Customer Return Order, and its body text is exactly A returned tracking barcode was scanned — Order 412990 · Tracking 10322198837710 after rule 6b (the banner carries a trailing .dot, so the raw text ends … 10322198837710 1).",8.5 State 4 — customer return and M3,1388,prose
QA-S4-02,view-orders,WF,False,S4,[BR-12];[L-S4-6],[L-S4-6] [BR-12] — negative,"Given State 4,",,"Then the order-card status pill text is exactly refunded, and the token returned does not appear as a status value anywhere in #s4 (the legend text may discuss it; assert against .status elements only).",8.5 State 4 — customer return and M3,1391,prose
QA-S4-03,view-orders,WF,False,S4,[L-F3];[L-S4-1],[L-S4-1] [L-F3] — negative,"Given State 4,",,Then #s4 .ordercard contains no button with text Outbound and no button with text 🖨 Print — a returned order is never shipped or re-labelled from this screen.,8.5 State 4 — customer return and M3,1394,prose
